day,month,fajr,choroq,dohr,asr,maghreb,ichaa
1,1,07h14,08h39,13h01,14h53,17h13,18h43
2,1,07h14,08h39,13h02,14h54,17h14,18h44
3,1,07h14,08h39,13h02,14h55,17h15,18h45
4,1,07h14,08h39,13h02,14h56,17h17,18h47
5,1,07h14,08h38,13h03,14h57,17h18,18h48
6,1,07h14,08h38,13h03,14h58,17h19,18h49
7,1,07h14,08h38,13h04,14h59,17h20,18h50
8,1,07h13,08h38,13h04,15h00,17h21,18h51
9,1,07h13,08h37,13h05,15h01,17h22,18h52
10,1,07h13,08h37,13h05,15h02,17h24,18h54
11,1,07h13,08h36,13h05,15h03,17h25,18h55
12,1,07h12,08h36,13h06,15h05,17h26,18h56
13,1,07h12,08h35,13h06,15h06,17h27,18h57
14,1,07h12,08h35,13h07,15h07,17h29,18h59
15,1,07h11,08h34,13h07,15h08,17h30,19h00
16,1,07h11,08h33,13h07,15h09,17h31,19h01
17,1,07h10,08h33,13h08,15h10,17h33,19h03
18,1,07h10,08h32,13h08,15h12,17h34,19h04
19,1,07h09,08h31,13h08,15h13,17h36,19h06
20,1,07h08,08h30,13h08,15h14,17h37,19h07
21,1,07h08,08h29,13h09,15h15,17h39,19h09
22,1,07h07,08h28,13h09,15h17,17h40,19h10
23,1,07h06,08h27,13h09,15h18,17h42,19h12
24,1,07h06,08h26,13h10,15h19,17h43,19h13
25,1,07h05,08h25,13h10,15h20,17h45,19h15
26,1,07h04,08h24,13h10,15h22,17h46,19h16
27,1,07h03,08h23,13h10,15h23,17h48,19h18
28,1,07h02,08h22,13h10,15h24,17h49,19h19
29,1,07h01,08h21,13h11,15h26,17h51,19h21
30,1,07h00,08h20,13h11,15h27,17h52,19h22
31,1,06h59,08h18,13h11,15h28,17h54,19h24
1,2,06h58,08h17,13h11,15h30,17h56,19h26
2,2,06h57,08h16,13h11,15h31,17h57,19h27
3,2,06h56,08h14,13h11,15h32,17h59,19h29
4,2,06h55,08h13,13h11,15h33,18h00,19h30
5,2,06h53,08h11,13h11,15h35,18h02,19h32
6,2,06h52,08h10,13h11,15h36,18h04,19h34
7,2,06h51,08h09,13h12,15h37,18h05,19h35
8,2,06h49,08h07,13h12,15h38,18h07,19h37
9,2,06h48,08h06,13h12,15h40,18h08,19h38
10,2,06h47,08h04,13h12,15h41,18h10,19h40
11,2,06h45,08h02,13h12,15h42,18h11,19h41
12,2,06h44,08h01,13h12,15h44,18h13,19h43
13,2,06h42,07h59,13h12,15h45,18h15,19h45
14,2,06h41,07h58,13h12,15h46,18h16,19h46
15,2,06h39,07h56,13h11,15h47,18h18,19h48
16,2,06h38,07h54,13h11,15h48,18h19,19h49
17,2,06h36,07h52,13h11,15h50,18h21,19h51
